Date,Actual,Predicted_Close,Lower_CI,Upper_CI
2025-01-01,,3348.263215942405,3145.407175415764,3551.1192564690464
2025-01-02,,3347.2894278750573,3056.7061602632484,3637.872695486866
2025-01-03,,3344.208232947302,2984.6265329161615,3703.7899329784423
2025-01-04,,3351.889833371316,2933.1911850663396,3770.5884816762923
2025-01-05,,3360.074002333442,2888.741582003631,3831.406422663253
2025-01-06,,3393.4622795096607,2874.2262379597546,3912.6983210595668
2025-01-07,,3355.880295087329,2792.424951562917,3919.335638611741
2025-01-08,,3371.8774726148467,2768.1980197224552,3975.5569255072382
2025-01-09,,3366.1254696698256,2724.588311919061,4007.66262742059
2025-01-10,,3363.4563566888887,2686.0711816577373,4040.84153172004
2025-01-11,,3373.4396893638213,2661.9400383966804,4084.9393403309623
2025-01-12,,3379.9569879354276,2635.857137311849,4124.056838559007
2025-01-13,,3412.614574517234,2637.2515123320654,4187.977636702402
2025-01-14,,3375.5893444306284,2570.1800385172123,4180.998650344044
2025-01-15,,3391.6525367244662,2556.2253430472388,4227.079730401693
2025-01-16,,3386.1120865920598,2521.6717387986473,4250.552434385472
2025-01-17,,3383.468137053725,2490.9316616075357,4276.004612499914
2025-01-18,,3393.4034076828034,2473.611073087359,4313.195742278248
2025-01-19,,3399.9958169722563,2453.7205069361225,4346.27112700839
2025-01-20,,3432.691987660894,2460.647655746222,4404.736319575566
2025-01-21,,3395.658796886296,2398.542272683466,4392.775321089126
2025-01-22,,3411.7273091914553,2389.3352844071073,4434.119333975803
2025-01-23,,3406.1852754757065,2359.1044475065546,4453.266103444858
2025-01-24,,3403.544382460013,2332.3275165404802,4474.761248379546
2025-01-25,,3413.484037993301,2318.6521229493196,4508.315953037283
2025-01-26,,3420.075983037547,2302.120510113059,4538.031455962035
2025-01-27,,3452.7723308526756,2312.158062268106,4593.386599437245
2025-01-28,,3415.7404472415233,2252.9495450022605,4578.531349480786
2025-01-29,,3431.809535895146,2246.5380182463396,4617.081053543952
2025-01-30,,3426.268095820157,2218.9146830602485,4633.621508580066
