Date,Actual,High,Low,Open,Volume,Coin,Predicted_Close,Lower_CI,Upper_CI
2024-01-01,44167.33203125,44175.4375,42214.9765625,42280.234375,18426978443.0,BTC-USD,38488.7334138319,32858.22363074989,44441.35944786201
2024-01-02,44957.96875,45899.70703125,44176.94921875,44187.140625,39335274536.0,BTC-USD,38326.78160339335,32412.005030584147,43864.29266540651
2024-01-03,42848.17578125,45503.2421875,40813.53515625,44961.6015625,46342323118.0,BTC-USD,39090.12859344192,33216.2104964054,44788.84269062177
2024-01-04,44179.921875,44770.0234375,42675.17578125,42855.81640625,30448091210.0,BTC-USD,39159.514018828995,33009.600963679084,45166.22440885464
2024-01-05,44162.69140625,44353.28515625,42784.71875,44192.98046875,32336029347.0,BTC-USD,39511.85545355827,33631.96185518533,45187.72301744341
2024-01-06,43989.1953125,44227.6328125,43475.15625,44178.953125,16092503468.0,BTC-USD,39629.62862723425,34365.901838094505,45358.05252011358
2024-01-07,43943.09765625,44495.5703125,43662.23046875,43998.46484375,19330573863.0,BTC-USD,39964.58582158739,34253.89798174553,45110.73508338317
2024-01-08,46970.50390625,47218.0,43244.08203125,43948.70703125,42746192015.0,BTC-USD,40644.60896945937,35178.01382182562,46117.37272617266
2024-01-09,46139.73046875,47893.69921875,45244.71484375,46987.640625,39821290992.0,BTC-USD,40482.657159020404,34631.10757394481,45930.65355551452
2024-01-10,46627.77734375,47647.22265625,44483.15234375,46121.5390625,50114613298.0,BTC-USD,41246.00414906858,35613.75380540485,46837.470480158474
2024-01-11,46368.5859375,48969.37109375,45678.64453125,46656.07421875,45833734549.0,BTC-USD,41315.389574455316,35637.18604203494,47114.79777361198
2024-01-12,42853.16796875,46498.13671875,41903.76953125,46354.79296875,43332698900.0,BTC-USD,41667.73100918632,35960.81790089817,47455.90601428155
2024-01-13,42842.3828125,43234.66015625,42464.14453125,42799.4453125,20601860469.0,BTC-USD,41785.504182861645,36029.022586778054,47460.741540835596
2024-01-14,41796.26953125,43065.59765625,41724.61328125,42842.26171875,17521429522.0,BTC-USD,42120.461383499205,36201.40244577788,47859.86238840236
2024-01-15,42511.96875,43319.72265625,41705.41796875,41715.06640625,22320220558.0,BTC-USD,42800.48453765377,37212.37945751765,48507.54450808233
2024-01-16,43154.9453125,43566.2734375,42085.99609375,42499.3359375,24062872740.0,BTC-USD,42638.53273349811,37099.20639546205,48367.98608119753
2024-01-17,42742.65234375,43189.890625,42189.30859375,43132.1015625,20851232595.0,BTC-USD,43401.87972983042,37537.26710462974,49215.78856960828
2024-01-18,41262.05859375,42876.34765625,40631.171875,42742.3125,25218357242.0,BTC-USD,43471.26516150043,37921.93346553634,49231.75097268427
2024-01-19,41618.40625,42134.16015625,40297.45703125,41278.4609375,25752407154.0,BTC-USD,43823.606602515676,37907.64733374741,49466.53155552505
2024-01-20,41665.5859375,41877.89453125,41446.82421875,41624.58984375,11586690904.0,BTC-USD,43941.37978247401,38111.95868706626,49336.16844603924
2024-01-21,41545.78515625,41855.3671875,41497.0078125,41671.48828125,9344043642.0,BTC-USD,44276.33698310981,38804.23118749579,50109.966190359744
2024-01-22,39507.3671875,41651.20703125,39450.1171875,41553.65234375,31338708143.0,BTC-USD,44956.360137265925,39263.925351688275,50614.644767459744
2024-01-23,39845.55078125,40127.3515625,38521.89453125,39518.71484375,29244553045.0,BTC-USD,44794.40833311022,39058.39114750041,50362.756974926124
2024-01-24,40077.07421875,40483.78515625,39508.796875,39877.59375,22359526178.0,BTC-USD,45557.75532944181,40034.7344197775,51403.07543870241
2024-01-25,39933.80859375,40254.48046875,39545.6640625,40075.55078125,18491782013.0,BTC-USD,45681.43124261658,40371.71815545688,51838.376916069385
2024-01-26,41816.87109375,42209.38671875,39825.69140625,39936.81640625,25598119893.0,BTC-USD,46088.063165137115,40391.325326352424,51775.65009848672
2024-01-27,42120.0546875,42195.6328125,41431.28125,41815.625,11422941934.0,BTC-USD,46260.12682660127,40315.276284155494,51536.613266817854
2024-01-28,42035.59375,42797.17578125,41696.91015625,42126.125,16858971687.0,BTC-USD,46649.37450874281,40830.665442540994,52015.6257410518
2024-01-29,43288.24609375,43305.8671875,41818.33203125,42030.9140625,20668476578.0,BTC-USD,47383.688144403095,41519.97547371736,53643.69562623565
2024-01-30,42952.609375,43838.9453125,42711.37109375,43300.2265625,23842814518.0,BTC-USD,47276.02682175211,41441.06479199668,52867.9559762775
2024-01-31,42582.60546875,43717.40625,42298.9453125,42946.25,24673628793.0,BTC-USD,48093.66429958858,42804.94379217923,54192.9114138587
2024-02-01,43075.7734375,43243.16796875,41879.19140625,42569.76171875,21423953779.0,BTC-USD,48217.34021276576,42287.74793394968,53878.97849972861
2024-02-02,43185.859375,43422.48828125,42584.3359375,43077.640625,18603843039.0,BTC-USD,48623.97213528339,43022.986362119555,54102.39671687375
2024-02-03,42992.25,43359.94140625,42890.80859375,43184.96484375,11169245236.0,BTC-USD,48796.03579674691,43418.97328183045,54451.603317607565
2024-02-04,42583.58203125,43097.64453125,42374.83203125,42994.94140625,14802225490.0,BTC-USD,49185.28347888862,43135.95219156376,55161.68980922352
2024-02-05,42658.66796875,43494.25,42264.81640625,42577.62109375,18715487317.0,BTC-USD,49919.59711454921,44217.55229666539,55590.889087941134
2024-02-06,43084.671875,43344.1484375,42529.01953125,42657.390625,16798476726.0,BTC-USD,49822.43170157171,44094.4098659493,55758.44755062503
2024-02-07,44318.22265625,44341.94921875,42775.95703125,43090.01953125,21126587775.0,BTC-USD,50650.565089081196,44790.19341091188,55833.81265193073
2024-02-08,45301.56640625,45575.83984375,44332.125,44332.125,26154524080.0,BTC-USD,50784.73691193048,45520.90242105164,56318.16735262698
2024-02-09,47147.19921875,48152.49609375,45260.82421875,45297.3828125,39316770844.0,BTC-USD,51201.864744122344,45538.432728994776,57043.285922604155
2024-02-10,47771.27734375,48146.171875,46905.3203125,47153.52734375,16398681570.0,BTC-USD,51384.424315257165,45802.634443502655,56785.37516865754
2024-02-11,48293.91796875,48535.9375,47617.40625,47768.96875,19315867136.0,BTC-USD,51784.16790707278,45394.727159187525,57370.759492549296
2024-02-12,49958.22265625,50280.4765625,47745.76171875,48296.38671875,34511985805.0,BTC-USD,52528.97745240739,46873.602106187354,58441.465372605286
2024-02-13,49742.44140625,50358.390625,48406.49609375,49941.359375,35593051468.0,BTC-USD,52431.81203942884,46883.81407487112,57665.75871295269
2024-02-14,51826.6953125,52021.37109375,49296.83203125,49733.4453125,39105608050.0,BTC-USD,53259.945426938895,47803.37076503531,59139.955039796216
2024-02-15,51938.5546875,52820.06640625,51371.62890625,51836.78515625,38564360533.0,BTC-USD,53394.117249787916,47873.41110704793,58554.07669093026
2024-02-16,52160.203125,52537.96875,51641.3671875,51937.7265625,28180567298.0,BTC-USD,53811.245081980465,47901.95623389324,59701.55995063361
