Coin,Model,RMSE,MAE,MAPE
BTC,ARIMA,3433.3771182026617,2785.2749155405404,2.840784180011953
BTC,SARIMA,3435.672474790396,2830.198896962999,2.88930793285933
BTC,PROPHET,2477.8364482196766,1923.648618105174,1.9565025446353512
BTC,LSTM,1191.0320999793828,1002.2127500000012,1.0447539591440782
ETH,ARIMA,353.1084365419268,278.27581952069255,7.322083898647692
ETH,SARIMA,368.8078450503261,290.85450784159553,7.652661730991103
ETH,PROPHET,130.5032865044978,106.27927840761801,2.9149429464866907
ETH,LSTM,84.71960992497269,63.20170390624995,1.8448956517995279
DOGE,ARIMA,0.24134646911711563,0.20353296528028839,58.72799210563191
DOGE,SARIMA,368.8078450503261,290.85450784159553,7.652661730991103
DOGE,PROPHET,0.02116853212231557,0.017246836186756483,4.591363718728683
DOGE,LSTM,0.01983983761418026,0.016393072510274182,5.066833667364875
