Date,Actual,Predicted_Close,Lower_CI,Upper_CI
2025-01-01,,3329.861564093949,3126.247321764271,3533.4758064236266
2025-01-02,,3328.718332828607,3040.5157031527037,3616.92096250451
2025-01-03,,3328.2197577815086,2973.5888905760676,3682.8506249869497
2025-01-04,,3327.950468663284,2911.6593768206885,3744.2415605058795
2025-01-05,,3328.31431501884,2858.431272464626,3798.1973575730535
2025-01-06,,3328.3329257311657,2811.791246088491,3844.8746053738405
2025-01-07,,3328.3438516100505,2768.7843534247295,3887.9033497953715
2025-01-08,,3328.3737009226643,2728.913819235735,3927.8335826095936
2025-01-09,,3328.3795047528474,2691.6449282926505,3965.1140812130443
2025-01-10,,3328.373907734067,2656.417303399675,4000.330512068459
2025-01-11,,3328.3752947901125,2622.9379391500947,4033.8126504301304
2025-01-12,,3328.375324127408,2590.9851865758046,4065.7654616790114
2025-01-13,,3328.374483927889,2560.3584056889063,4096.390562166871
2025-01-14,,3328.3744599288357,2530.90521343441,4125.843706423261
2025-01-15,,3328.3745507201966,2502.5024927463232,4154.24660869407
2025-01-16,,3328.374478476022,2475.044585239899,4181.704371712145
2025-01-17,,3328.3744783924903,2448.442880734334,4208.306076050647
2025-01-18,,3328.3744977597444,2422.622200453307,4234.126795066182
2025-01-19,,3328.3744941147825,2397.5174943847796,4259.231493844785
2025-01-20,,3328.374492775009,2373.0722750898753,4283.676710460143
2025-01-21,,3328.374495115694,2349.2371722806097,4307.511817950778
2025-01-22,,3328.3744948834988,2325.968661493653,4330.780328273345
2025-01-23,,3328.3744944911955,2303.2281552135873,4353.520833768804
2025-01-24,,3328.3744946853863,2280.9812638073627,4375.76772556341
2025-01-25,,3328.3744946898714,2259.197174574334,4397.551814805409
2025-01-26,,3328.3744946283036,2237.848152016608,4418.900837239999
2025-01-27,,3328.374494643645,2216.9091257433765,4439.839863543913
2025-01-28,,3328.3744946500556,2196.357344405594,4460.3916448945165
2025-01-29,,3328.374494643307,2176.172085934671,4480.576903351943
2025-01-30,,3328.374494644208,2156.33441305247,4500.414576235946
