Date,Open,High,Low,Close,Volume,Coin
2024-01-01,0.0894730016589164,0.0920460000634193,0.0888380035758018,0.0920239984989166,298687049.0,DOGE-USD
2024-01-02,0.0920369997620582,0.0943299978971481,0.0908040031790733,0.0912040024995803,496309010.0,DOGE-USD
2024-01-03,0.0912050008773803,0.0920929983258247,0.0810180008411407,0.0820420011878013,1026941029.0,DOGE-USD
2024-01-04,0.0820489972829818,0.0846550017595291,0.0815510004758834,0.0841310024261474,514230239.0,DOGE-USD
2024-01-05,0.0841209962964057,0.084755003452301,0.0812349990010261,0.0827730000019073,547983037.0,DOGE-USD
2024-01-06,0.0827730000019073,0.0827730000019073,0.078854002058506,0.0806640014052391,414677901.0,DOGE-USD
2024-01-07,0.0806680023670196,0.0814739987254142,0.0776349976658821,0.0782250016927719,399266341.0,DOGE-USD
2024-01-08,0.0782279968261718,0.0817169994115829,0.074972003698349,0.0813700035214424,603250657.0,DOGE-USD
2024-01-09,0.0813779979944229,0.0821819975972175,0.077233001589775,0.0792630016803741,957047300.0,DOGE-USD
2024-01-10,0.0792630016803741,0.0844499990344047,0.0766829997301101,0.0829420015215873,703451086.0,DOGE-USD
2024-01-11,0.0829690024256706,0.0876350030303001,0.0823829993605613,0.0846249982714653,778110109.0,DOGE-USD
2024-01-12,0.0846149995923042,0.085377998650074,0.0782470032572746,0.080045998096466,607108203.0,DOGE-USD
2024-01-13,0.0800359994173049,0.0812600031495094,0.0789059996604919,0.0809229984879493,297741301.0,DOGE-USD
2024-01-14,0.0809210017323494,0.0838240012526512,0.0798510015010833,0.0799779966473579,461353847.0,DOGE-USD
2024-01-15,0.0799689963459968,0.0816370025277137,0.0799689963459968,0.0811249986290931,272657967.0,DOGE-USD
2024-01-16,0.081105999648571,0.0822670012712478,0.0799899995326995,0.0813099965453147,328206882.0,DOGE-USD
2024-01-17,0.0813120007514953,0.0815389975905418,0.0795560032129287,0.0805049985647201,261149597.0,DOGE-USD
2024-01-18,0.0805089995265007,0.0806929990649223,0.0773990005254745,0.0779870003461837,314880990.0,DOGE-USD
2024-01-19,0.0779879987239837,0.0787049978971481,0.07515200227499,0.0785359963774681,351038255.0,DOGE-USD
2024-01-20,0.0785339996218681,0.0899979993700981,0.0782359987497329,0.0878880023956298,684267184.0,DOGE-USD
2024-01-21,0.0878679975867271,0.0899920016527175,0.0848430022597312,0.0852729976177215,948730356.0,DOGE-USD
2024-01-22,0.0852919965982437,0.0854159966111183,0.0801950022578239,0.0803409963846206,673330908.0,DOGE-USD
2024-01-23,0.0803460031747818,0.081676997244358,0.0760909989476203,0.0781539976596832,555482191.0,DOGE-USD
2024-01-24,0.0781570002436637,0.0805179998278617,0.0777499973773956,0.0790160000324249,372585722.0,DOGE-USD
2024-01-25,0.0790160000324249,0.0791369974613189,0.0771929994225502,0.0779329985380172,292888748.0,DOGE-USD
2024-01-26,0.0779289975762367,0.0802790001034736,0.0775950029492378,0.0799010023474693,283895680.0,DOGE-USD
2024-01-27,0.0798830017447471,0.0806780010461807,0.0790710002183914,0.0801419988274574,212327663.0,DOGE-USD
2024-01-28,0.0801400020718574,0.0813700035214424,0.0782919973134994,0.0788130015134811,257196385.0,DOGE-USD
2024-01-29,0.0788130015134811,0.0828720033168792,0.0782229974865913,0.0812890008091926,540569157.0,DOGE-USD
2024-01-30,0.0812999978661537,0.0821290016174316,0.0795930027961731,0.0797230005264282,333456483.0,DOGE-USD
2024-01-31,0.0797289982438087,0.0802220031619072,0.0782139971852302,0.0787639990448951,307301569.0,DOGE-USD
2024-02-01,0.0787630006670951,0.0797789990901947,0.077684000134468,0.0793270021677017,257042563.0,DOGE-USD
2024-02-02,0.0793270021677017,0.0799010023474693,0.0786219984292984,0.0792329981923103,220161256.0,DOGE-USD
